LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType,ObjectNumber,Title,ObjectName,Description
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,TM-1288-13,AARDEWERKEN MARTAVAAN,Martavaan,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,TM-1288-13,AARDEWERKEN MARTAVAAN,Martavaan,NULL
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,TM-1288-14,AARDEWERKEN MARTAVAAN,Martavaan,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,TM-1288-14,AARDEWERKEN MARTAVAAN,Martavaan,NULL
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,TM-1666-1,PORSELEINEN MARTAVAAN MET DEKSEL,Martavaan,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,TM-1666-1,PORSELEINEN MARTAVAAN MET DEKSEL,Martavaan,NULL
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,TM-4117-118,AARDEWERKEN VAAS,Vaas,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,TM-4117-118,AARDEWERKEN VAAS,Vaas,NULL
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-3567-4,Martavaan,martavaan,In China vervaardigd.
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-3567-4,Martavaan,martavaan,In China vervaardigd.
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4546-20,Martavaan,Martavaan,"martavaan
balustervormig, van porselein, met vier lusoortjes om de lage  
hals. Krachtige schouder op brede voet. Zeer licht groenig wit  
(25A2) glad glazuur met drie roestbruine vlekken erin van  
verschillende grootte. Op halverhoogte is de horizontale naad  
zichtbaar. Zandkorrels op de voetring. Onderaan twee vertikale,  
niet doorlopende, barsten. Waarschijnlijk Ming-periode.
Afm.: H. 29,25 cm.  D. 28 cm.
"
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4546-20,Martavaan,Martavaan,"martavaan
balustervormig, van porselein, met vier lusoortjes om de lage  
hals. Krachtige schouder op brede voet. Zeer licht groenig wit  
(25A2) glad glazuur met drie roestbruine vlekken erin van  
verschillende grootte. Op halverhoogte is de horizontale naad  
zichtbaar. Zandkorrels op de voetring. Onderaan twee vertikale,  
niet doorlopende, barsten. Waarschijnlijk Ming-periode.
Afm.: H. 29,25 cm.  D. 28 cm.
"
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-446,EEN AARDEWERK VOORRAADPOT.,pot / martavaan,"Kleine ronde pot op ronde voet, van bruin aardewerk. Wordt gebruikt in het huishouden als voorraadpot voor sauzen e.d.."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-446,EEN AARDEWERK VOORRAADPOT.,pot / martavaan,"Kleine ronde pot op ronde voet, van bruin aardewerk. Wordt gebruikt in het huishouden als voorraadpot voor sauzen e.d.."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-447,INMAAKPOT VOOR GEZOUTEN VISJES OF ZOUT/ZOET/ZURE GROENTEN?,inmaakpot? / martavaan,"Ronde pot van bruin aardewerk met smalle halsopening, waarop een los dekseltje past. Wordt gebruikt in het huishouden voor het bewaren van water, sauzen, enz."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-447,INMAAKPOT VOOR GEZOUTEN VISJES OF ZOUT/ZOET/ZURE GROENTEN?,inmaakpot? / martavaan,"Ronde pot van bruin aardewerk met smalle halsopening, waarop een los dekseltje past. Wordt gebruikt in het huishouden voor het bewaren van water, sauzen, enz."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-484,POT IN DRAAGNET,martavaan in draagnet,"Grote ronde pot van bruin aardewerk (martavaan) met smalle halsopening. Het bovenste gedeelte is versierd met ribbeltjes. Om de martavaan heen is een draagnetje van bamboe aangebracht, met boven- aan twee hengsels, waaraan de pot kan worden gedragen. Wordt gebruikt in het huishouden voor het bewaren van soya-saus."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-484,POT IN DRAAGNET,martavaan in draagnet,"Grote ronde pot van bruin aardewerk (martavaan) met smalle halsopening. Het bovenste gedeelte is versierd met ribbeltjes. Om de martavaan heen is een draagnetje van bamboe aangebracht, met boven- aan twee hengsels, waaraan de pot kan worden gedragen. Wordt gebruikt in het huishouden voor het bewaren van soya-saus."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-485,EEN MARTAVAAN VOOR HET BEWAREN VAN VLOEIBARE STOFFEN.,martavaan,"Grote pot van bruingroen aardewerk (martavaan) met wijde halsopening. Over de gehele buitenkant is een structuurversiering aangebracht. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen enz.), of hij wordt bij de toegang tot het huis geplaatst, gevuld met water, waarmee voor het naar binnen gaan de voeten kunnen worden gewassen."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-485,EEN MARTAVAAN VOOR HET BEWAREN VAN VLOEIBARE STOFFEN.,martavaan,"Grote pot van bruingroen aardewerk (martavaan) met wijde halsopening. Over de gehele buitenkant is een structuurversiering aangebracht. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen enz.), of hij wordt bij de toegang tot het huis geplaatst, gevuld met water, waarmee voor het naar binnen gaan de voeten kunnen worden gewassen."
