LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType,ObjectNumber,Title,ObjectName,Description
10048905,10029546,10048905,"blad : blad , pinang","blad : blad , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1636-68,Rijstmand,rijstmand,NULL
10048905,10029546,10048905,"blad : blad , pinang","blad : blad , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1636-69,Rijstmand,rijstmand,NULL
10048905,10029546,10048905,"blad : blad , pinang","blad : blad , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1636-143,PAKJES OM GEKOOKTE RIJST IN TE WIKKELEN,pak,NULL
10048905,10029546,10048905,"blad : blad , pinang","blad : blad , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1710-80,PINANGNOOT,pinangnoot (monster),"Een monster pinangnoten in handelsverpakking. De verpakking heeft een ronde staafvorm en is gemaakt van pinangbladscheden. De uiteinden zijn omwikkeld met bastvezels. In het midden zijn op verschillende plaatsen pennen doorgestoken. In deze vorm worden de pinangnoten verhandeld. De koper mag, ter controle, een inkeping in de verpakking maken om de kwaliteit te controleren."
10048906,10029547,10048906,"blad : blad , pinang palm ?","blad : blad , pinang palm ?",Descriptor,Materiaal: Plantaardig (RM),RV-1671-15,VOEDERBAK,voederbak,"Een voederbak gemaakt van de bladschede van de ""pinang""-palm ?. De bak is rechthoekig van vorm, de bovenranden van de smalle zijden steken iets uit. De bovenranden zijn omboord met rotanvezels. Dit type voederbak wordt voor het voeren van gekookt voedsel aan varkens gebruikt."
10048916,10029557,10048916,"blad : blad , sirih","blad : blad , sirih",Descriptor,Materiaal: Plantaardig (RM),RV-1710-46,SIRIHTAS,sirihtas / inhoud,"Een sirihtas gemaakt van ongekleurde, diagonaal gevlochten lontarbladrepen, de bodem vierkant, boven rond en met blauw garen omnaaid. De onderste hoeken zijn overvlochten met roodbruine repen. De tas heeft een gevlochten draagsnoer dat over twee zijden en de bodem met blauw garen is vastgenaaid. In de tas een tweede gelijkvormige tas van ongekleurde, diagonaal gevlochten ""gebang""-repen. De inhoud bestaat uit een bamboe kalkkokertje met een dik koord aan het inschuivende deksel, een aantal sigaretten en sirihbladeren."
10049111,10029752,10049111,"blad : blad, pinangblad","blad : blad, pinangblad",Descriptor,Materiaal: Plantaardig (RM),RV-3600-1489,Waterbak,waterbak,NULL
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-37-110,Waterschepper,waterschepper,NULL
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-37-98,Doos om rijst en kleding in te bewaren,doos,Doos om rijst en kleding in te bewaren.
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-268-133,Draagmand,draagmand,NULL
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-268-400,Vlechtpatroon,vlechtpatroon,NULL
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-268-403,Bak,bak,NULL
10049113,10029754,10049113,"blad : blad, pinangpalm- x?","blad : blad, pinangpalm- x?",Descriptor,Materiaal: Plantaardig (RM),RV-37-99,Zak,zak,"Trapezium-vormige zak van dichtgevouwen bloemschede van een pinangpalm. Sluiting door een kokosblad, half doorgesneden en met drie repen door een wand gestoken. ""Om rijst en kleederen in te bewaren"". (HvD)."
10049113,10029754,10049113,"blad : blad, pinangpalm- x?","blad : blad, pinangpalm- x?",Descriptor,Materiaal: Plantaardig (RM),RV-37-109,Waterschepper,waterschepper,NULL
10049158,10029799,10049158,"blad : blad, sirih-, kalk","blad : blad, sirih-, kalk",Descriptor,Materiaal: Plantaardig (RM),RV-995-1,Doos,doos,NULL
10049159,10029800,10049159,"blad : blad, sirihblad","blad : blad, sirihblad",Descriptor,Materiaal: Plantaardig (RM),RV-886-8,Mand met offergereedschap,Mand,"Offergereedschap: kom, mes, garen, ring en enige sirihbladeren."
10049159,10029800,10049159,"blad : blad, sirihblad","blad : blad, sirihblad",Descriptor,Materiaal: Plantaardig (RM),RV-2434-2c,NULL,sirihblad,Wordt gebruikt bij het bedjan-ritueel. Zie ook 2434-1
10049264,10029905,10049264,blad : bladschede van pinang-palm,blad : bladschede van pinang-palm,Descriptor,Materiaal: Plantaardig (RM),RV-893-29,Hoofdband,hoofdband,"Lamboeng ringkai. Hoofdband: bestaande uit een strook bamboe- bast die aan de buitenzijde is versierd met bruine krulletjes van de bladschede (oepih) van de pinangpalm.
Door belians bij het toedienen van medicijnen aan zieken gedragen.

Tebidah Dajaks, landschap Sintang, res. Westerafd. van Borneo."
10049264,10029905,10049264,blad : bladschede van pinang-palm,blad : bladschede van pinang-palm,Descriptor,Materiaal: Plantaardig (RM),RV-893-120,Hoofdring,hoofdring,"Laboeng ringkai, hoofdring bijna met serienr.: 893-29 overeen- komende; de krullen aan de buitenomtrek echter grote en geel- achtig.

Tebidah Dajaks, landschap Sintang, res. Westerafd. van Borneo."
10049264,10029905,10049264,blad : bladschede van pinang-palm,blad : bladschede van pinang-palm,Descriptor,Materiaal: Plantaardig (RM),RV-893-121,Hoofdring,hoofdring,"Laboeng ringkai, hoofdring als serienr.: 893-120, doch smaller en de krullen donkerbruin.

Tebidah Dajaks, landschap Sintang, res. Westerafd. van Borneo."
10049265,10029906,10049265,blad : bladschede van pinangboom,blad : bladschede van pinangboom,Descriptor,Materiaal: Plantaardig (RM),RV-1685-11,Waterschepper,waterschepper,NULL
