LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType
10048905,10029546,10048905,"blad : blad , pinang","blad : blad , pinang",Descriptor,Materiaal: Plantaardig (RM)
10048906,10029547,10048906,"blad : blad , pinang palm ?","blad : blad , pinang palm ?",Descriptor,Materiaal: Plantaardig (RM)
10048916,10029557,10048916,"blad : blad , sirih","blad : blad , sirih",Descriptor,Materiaal: Plantaardig (RM)
10049111,10029752,10049111,"blad : blad, pinangblad","blad : blad, pinangblad",Descriptor,Materiaal: Plantaardig (RM)
10049112,10029753,10049112,"blad : blad, pinangpalm-","blad : blad, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM)
10049113,10029754,10049113,"blad : blad, pinangpalm- x?","blad : blad, pinangpalm- x?",Descriptor,Materiaal: Plantaardig (RM)
10049158,10029799,10049158,"blad : blad, sirih-, kalk","blad : blad, sirih-, kalk",Descriptor,Materiaal: Plantaardig (RM)
10049159,10029800,10049159,"blad : blad, sirihblad","blad : blad, sirihblad",Descriptor,Materiaal: Plantaardig (RM)
10049264,10029905,10049264,blad : bladschede van pinang-palm,blad : bladschede van pinang-palm,Descriptor,Materiaal: Plantaardig (RM)
10049265,10029906,10049265,blad : bladschede van pinangboom,blad : bladschede van pinangboom,Descriptor,Materiaal: Plantaardig (RM)
10049271,10029912,10049271,"blad : bladschede, pinangpalm-","blad : bladschede, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM)
10049420,10030061,10049420,blad : pinangblad,blad : pinangblad,Descriptor,Materiaal: Plantaardig (RM)
10049421,10030062,10049421,blad : pinangbladschede,blad : pinangbladschede,Descriptor,Materiaal: Plantaardig (RM)
10049456,10030097,10049456,blad : sirihblad,blad : sirihblad,Descriptor,Materiaal: Plantaardig (RM)
10049487,10030128,10049487,bloem : bloem van pinangpalm,bloem : bloem van pinangpalm,Descriptor,Materiaal: Plantaardig (RM)
10049503,10030144,10049503,bloem : bloemtros van wilde pinang,bloem : bloemtros van wilde pinang,Descriptor,Materiaal: Plantaardig (RM)
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM)
10049879,10030520,10049879,"hout : hout , pinang","hout : hout , pinang",Descriptor,Materiaal: Plantaardig (RM)
10049880,10030521,10049880,"hout : hout , pinang-","hout : hout , pinang-",Descriptor,Materiaal: Plantaardig (RM)
10049896,10030537,10049896,"hout : hout ? , pinang","hout : hout ? , pinang",Descriptor,Materiaal: Plantaardig (RM)
10050259,10030900,10050259,"hout : hout, pinang-","hout : hout, pinang-",Descriptor,Materiaal: Plantaardig (RM)
10050260,10030901,10050260,"hout : hout, pinang-hout","hout : hout, pinang-hout",Descriptor,Materiaal: Plantaardig (RM)
10050261,10030902,10050261,"hout : hout, pinang-hout, djati-hout","hout : hout, pinang-hout, djati-hout",Descriptor,Materiaal: Plantaardig (RM)
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM)
10050263,10030904,10050263,"hout : hout, pinanghout x?","hout : hout, pinanghout x?",Descriptor,Materiaal: Plantaardig (RM)
10050264,10030905,10050264,"hout : hout, pinangpalm-","hout : hout, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM)
10050265,10030906,10050265,"hout : hout, pinangpalmhout","hout : hout, pinangpalmhout",Descriptor,Materiaal: Plantaardig (RM)
10050458,10031099,10050458,"hout : palm, pinangpalm","hout : palm, pinangpalm",Descriptor,Materiaal: Plantaardig (RM)
10050543,10031184,10050543,noot : betel,noot : betel,Descriptor,Materiaal: Plantaardig (RM)
10050544,10031185,10050544,"noot : betel, kurk, koper","noot : betel, kurk, koper",Descriptor,Materiaal: Plantaardig (RM)
10050545,10031186,10050545,noot : betelnoot,noot : betelnoot,Descriptor,Materiaal: Plantaardig (RM)
10050587,10031228,10050587,"noot : noot , pinang","noot : noot , pinang",Descriptor,Materiaal: Plantaardig (RM)
10050588,10031229,10050588,"noot : noot , pinangnoot","noot : noot , pinangnoot",Descriptor,Materiaal: Plantaardig (RM)
10050602,10031243,10050602,"noot : noot, betelnoot","noot : noot, betelnoot",Descriptor,Materiaal: Plantaardig (RM)
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM)
10050625,10031266,10050625,"noot : noot, pinangnoot","noot : noot, pinangnoot",Descriptor,Materiaal: Plantaardig (RM)
10050626,10031267,10050626,"noot : noot, pinangnootschil","noot : noot, pinangnootschil",Descriptor,Materiaal: Plantaardig (RM)
10050643,10031284,10050643,noot : pinangnoot,noot : pinangnoot,Descriptor,Materiaal: Plantaardig (RM)
10050727,10031368,10050727,plantaardig materiaa : pinang,plantaardig materiaa : pinang,Descriptor,Materiaal: Plantaardig (RM)
10050728,10031369,10050728,plantaardig materiaa : pinang x?,plantaardig materiaa : pinang x?,Descriptor,Materiaal: Plantaardig (RM)
10050808,10031449,10050808,plantaardig materiaa : sirih,plantaardig materiaa : sirih,Descriptor,Materiaal: Plantaardig (RM)
10052058,10032699,10052058,"vezel : vezel, pinangnoot-","vezel : vezel, pinangnoot-",Descriptor,Materiaal: Plantaardig (RM)
10052580,10033221,10052580,"vrucht : vrucht, pinang-vrucht","vrucht : vrucht, pinang-vrucht",Descriptor,Materiaal: Plantaardig (RM)
10052581,10033222,10052581,"vrucht : vrucht, pinangvrucht","vrucht : vrucht, pinangvrucht",Descriptor,Materiaal: Plantaardig (RM)
10055757,10036398,10055757,"kalk : kalk, sirihkalk","kalk : kalk, sirihkalk",Descriptor,Materiaal: Anders (RM)
10086086,10049671,10087629,sirih en accessoires,sirih and accessories,British Equivalent,FUNCTIE EN CONTEXT
10086086,10049671,10086087,sirih en accessoires,sirih-gereedschap,Alternate Term,FUNCTIE EN CONTEXT
10086086,10049671,10086086,sirih en accessoires,sirih en accessoires,Descriptor,FUNCTIE EN CONTEXT
10137840,10068806,10137841,sets voor betelbenodigdheden,sets for betel equipment,British Equivalent,OBJECTTREFWOORD
10137840,10068806,10137840,sets voor betelbenodigdheden,sets voor betelbenodigdheden,Descriptor,OBJECTTREFWOORD
10137842,10068807,10137842,betelkokers,betelkokers,Descriptor,OBJECTTREFWOORD
10137842,10068807,10137843,betelkokers,sirihkokers,Alternate Term,OBJECTTREFWOORD
10137842,10068807,10137844,betelkokers,betel tubes,British Equivalent,OBJECTTREFWOORD
10137842,10068807,10137844,betelkokers,betel tubes,British Equivalent,Voorstelling Object
10137842,10068807,10137842,betelkokers,betelkokers,Descriptor,Voorstelling Object
10137842,10068807,10137843,betelkokers,sirihkokers,Alternate Term,Voorstelling Object
