ObjectNumber,Title,ObjectName,Description
RV-529-2,BETELWAAIER,betelwaaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-3,Betelwaaier,betelwaaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-4,Betelwaaier,betelwaaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-5,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-6,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-7,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-8,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-9,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-529-10,Waaier,waaier,Waaier. Beschilderd. Gemaakt van het schutblad van de betelpalm. Taiwan.
RV-561-6,Beteltas,sirihtas,
RV-929-344,SPATEL,spatel,"Spatel, uit het pijpbeen van een casuaris vervaardigd, het handvat met een ingegrift en met kalk opgevuld ornament versierd. Vermoedelijk werd met de spatels kalk voor het kauwen van de betelnoot uit de kalkkoker geschept."
RV-929-356,KALKHOUDER,kalkhouder,"Wordt dikwijls bij tochten op zee meegenomen.

Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-358,KALKKOKER,kalkkoker,"Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-361,SIRIHDOOS,sirihdoos,"Sirihdoos met daarin vier bamboekokers. Gebruikt voor sirihbenodigdheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-361a,SIRIHDOOS,doos,"Gebruikt voor sirih-benodigdiheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-361b,SIRIH-DOOS,sirihdoos,"Gebruikt voor sirih-benodigdheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-362,TABAKSDOOS,sirihdoos,"Gebruikt voor tabak en gedroogde pinang.

Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-363,DOOS VOOR PINANG,doos,"In de doos bevindt zich een ronde doos met stokjes met daarop gestoken pinang.  
Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-364,DOOS VOOR PINANG,doos,"Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
