ObjectNumber,Title,ObjectName,Description
RV-435-38,Boog,boog,
RV-532-14,Boog,boog,
RV-561-26,Boog,boog,
RV-929-19,KAM,kam,Deze sierkam hoorde tot de dagelijkse opsmuk van mannen. Vaak werden verschillende kammen in verschillende hoeken in de haren gestoken. De kromme handgreep zorgt ervoor dat er een heel speels effect gecreëerd wordt.
RV-929-20,KAM,kam,"In de Geelvinkbaai besteedde de inheemse bevolking en met name de mannen veel aandacht aan hun uiterlijk en dan vooral het kapsel. Vaak staken zij kammen in hun haardos zodat deze de gewenste vorm kreeg of om zich te krabben. De kammen werden vaak versierd met veren, kralen of rode lapjes."
RV-929-22,KAM,kam,"In de Geelvinkbaai besteedde de inheemse bevolking en met name de mannen veel aandacht aan hun uiterlijk en dan vooral het kapsel. Vaak staken zij kammen in hun haardos zodat deze de gewenste vorm kreeg of om zich te krabben. De kammen werden vaak versierd met veren, kralen of rode lapjes."
RV-929-23,KAM,kam,"In de Geelvinkbaai besteedde de inheemse bevolking en met name de mannen veel aandacht aan hun uiterlijk en dan vooral het kapsel. Vaak staken zij kammen in hun haardos zodat deze de gewenste vorm kreeg of om zich te krabben. De kammen werden vaak versierd met veren, kralen of rode lapjes."
RV-929-362,TABAKSDOOS,sirihdoos,"Gebruikt voor tabak en gedroogde pinang.

Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-363,DOOS VOOR PINANG,doos,"In de doos bevindt zich een ronde doos met stokjes met daarop gestoken pinang.  
Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-364,DOOS VOOR PINANG,doos,"Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-365,DOOS,doos,"De doos bevat een tweede van soortgelijke vorm. Werd gebruikt voor tabak en gedroogde pinang.

Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-372,BETELDOOS,beteldoos,"De doos bevat een tweede van dezelfde vorm, waarvan het vlak van het deksel eveneens met diagonaal vlechtwerk van rode, zwarte en gele strepen is bekleed en waardoor ruiten en schuine strepen in die kleuren zijn gevormd. In de doos bevinden zich enige, aan stokjes gestoken stukken pinang.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
