ObjectNumber,Title,ObjectName,Description
RV-163-21,HOUTEN VIJZEL,Vijzel,"Houten vijzel (mortier), waarschijnlijk gebruikt voor kalk of catechu bij het sirihkauwen."
RV-561-6,Beteltas,sirihtas,
RV-929-361,SIRIHDOOS,sirihdoos,"Sirihdoos met daarin vier bamboekokers. Gebruikt voor sirihbenodigdheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-361a,SIRIHDOOS,doos,"Gebruikt voor sirih-benodigdiheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-361b,SIRIH-DOOS,sirihdoos,"Gebruikt voor sirih-benodigdheden.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-362,TABAKSDOOS,sirihdoos,"Gebruikt voor tabak en gedroogde pinang.

Het kauwen van de betelnoot is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-371,DOOS VOOR SIRIHKALK,doos,"In de doos bevinden zich twee kleinere dozen met daarin sirihkalk.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm, de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-372,BETELDOOS,beteldoos,"De doos bevat een tweede van dezelfde vorm, waarvan het vlak van het deksel eveneens met diagonaal vlechtwerk van rode, zwarte en gele strepen is bekleed en waardoor ruiten en schuine strepen in die kleuren zijn gevormd. In de doos bevinden zich enige, aan stokjes gestoken stukken pinang.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-383,KALKKOKER,kalkkoker,"Kalkkoker met spatel. Het stokje wordt met speeksel bevochtigd en men brengt zo de kalk bij de sirihpruim in de mond.

Het kauwen van de betelnoot of sirih is een wijdverbreid fenomeen in Melanesië. Het betelmengsel bestaat uit de noot van de arecapalm (ook wel pinang genoemd), de vrucht of de noten van de betelpeper (Piper betle en verwante soorten) en een soort kalk dat een mengsel is van verbrand koraal en vermalen kalksteen. Het kauwen hiervan heeft een stimulerend effect; het verdrijft de vermoeidheid en honger. Door veelvuldig gebruik kleuren de tanden rood. De kalk werd bewaard in speciale bamboekokers. De bamboe kokers werden vaak versierd met ingekraste geometrische patronen. Ook kalebassen konden als kalkhouder dienen."
RV-929-394,TAS,tas,Wordt aan een touwtje over de schouder gedragen en dient om sirih en andere benodigdheden mee te nemen.
